id,titulo,artista,palavra
1,The search,NF,Hey
2,The search,NF,Nate
3,The search,NF,how's
4,The search,NF,life
5,The search,NF,I
6,The search,NF,don't
7,The search,NF,know
8,The search,NF,it's
9,The search,NF,alright
10,The search,NF,I've
11,The search,NF,been
12,The search,NF,dealin
13,The search,NF,with
14,The search,NF,some
15,The search,NF,things
16,The search,NF,like
17,The search,NF,every
18,The search,NF,human
19,The search,NF,being
20,The search,NF,And
21,The search,NF,really
22,The search,NF,didn't
23,The search,NF,sleep
24,The search,NF,much
25,The search,NF,last
26,The search,NF,night
27,The search,NF,last
28,The search,NF,night
29,The search,NF,I'm
30,The search,NF,sorry
31,The search,NF,that's
32,The search,NF,fine
33,The search,NF,I
34,The search,NF,just
35,The search,NF,think
36,The search,NF,I
37,The search,NF,need
38,The search,NF,a
39,The search,NF,little
40,The search,NF,me
41,The search,NF,time
42,The search,NF,I
43,The search,NF,just
44,The search,NF,think
45,The search,NF,I
46,The search,NF,need
47,The search,NF,a
48,The search,NF,little
49,The search,NF,free
50,The search,NF,time
51,The search,NF,Little
52,The search,NF,break
53,The search,NF,from
54,The search,NF,the
55,The search,NF,shows
56,The search,NF,and
57,The search,NF,the
58,The search,NF,bus
59,The search,NF,rides
60,The search,NF,bus
61,The search,NF,rides
62,The search,NF,yeah
63,The search,NF,Last
64,The search,NF,year
65,The search,NF,I
66,The search,NF,had
67,The search,NF,a
68,The search,NF,breakdown
69,The search,NF,Thoughts
70,The search,NF,tellin
71,The search,NF,me
72,The search,NF,I'm
73,The search,NF,lost
74,The search,NF,gettin
75,The search,NF,too
76,The search,NF,loud
77,The search,NF,Had
78,The search,NF,to
79,The search,NF,see
80,The search,NF,a
81,The search,NF,therapist
82,The search,NF,then
83,The search,NF,I
84,The search,NF,found
85,The search,NF,out
86,The search,NF,Somethin
87,The search,NF,funny's
88,The search,NF,goin
89,The search,NF,on
90,The search,NF,up
91,The search,NF,in
92,The search,NF,my
93,The search,NF,house
94,The search,NF,Yeah
95,The search,NF,I
96,The search,NF,started
97,The search,NF,thinkin
98,The search,NF,maybe
99,The search,NF,I
100,The search,NF,should
101,The search,NF,move
102,The search,NF,out
103,The search,NF,You
104,The search,NF,know
105,The search,NF,pack
106,The search,NF,my
107,The search,NF,cart
108,The search,NF,take
109,The search,NF,a
110,The search,NF,new
111,The search,NF,route
112,The search,NF,Clean
113,The search,NF,up
114,The search,NF,my
115,The search,NF,yard
116,The search,NF,get
117,The search,NF,the
118,The search,NF,noose
119,The search,NF,out
120,The search,NF,Hang
121,The search,NF,up
122,The search,NF,my
123,The search,NF,heart
124,The search,NF,let
125,The search,NF,it
126,The search,NF,air
127,The search,NF,out
128,The search,NF,air
129,The search,NF,out
130,The search,NF,I've
131,The search,NF,been
132,The search,NF,searchin
133,The search,NF,What
134,The search,NF,does
135,The search,NF,that
136,The search,NF,mean
137,The search,NF,Nate
138,The search,NF,I've
139,The search,NF,been
140,The search,NF,learning
141,The search,NF,Grabbin
142,The search,NF,my
143,The search,NF,keepsakes
144,The search,NF,leavin
145,The search,NF,my
146,The search,NF,burdens
147,The search,NF,Well
148,The search,NF,I
149,The search,NF,brought
150,The search,NF,a
151,The search,NF,few
152,The search,NF,with
153,The search,NF,me
154,The search,NF,I'm
155,The search,NF,not
156,The search,NF,perfect
157,The search,NF,Lookin
158,The search,NF,at
159,The search,NF,the
160,The search,NF,view
161,The search,NF,like
162,The search,NF,this
163,The search,NF,concerns
164,The search,NF,me
165,The search,NF,Pickin
166,The search,NF,up
167,The search,NF,the
168,The search,NF,cues
169,The search,NF,right
170,The search,NF,I'm
171,The search,NF,quite
172,The search,NF,nervous
173,The search,NF,Hate
174,The search,NF,it
175,The search,NF,when
176,The search,NF,I
177,The search,NF,lose
178,The search,NF,sight
179,The search,NF,life
180,The search,NF,gets
181,The search,NF,blurry
182,The search,NF,And
183,The search,NF,things
184,The search,NF,might
185,The search,NF,hurt
186,The search,NF,me
187,The search,NF,It's
188,The search,NF,prolly
189,The search,NF,gonna
190,The search,NF,be
191,The search,NF,a
192,The search,NF,long
193,The search,NF,journey
194,The search,NF,but
195,The search,NF,hey
196,The search,NF,but
197,The search,NF,hey
198,The search,NF,It's
199,The search,NF,worth
200,The search,NF,it
201,The search,NF,though
202,The search,NF,Cold
203,The search,NF,world
204,The search,NF,out
205,The search,NF,there
206,The search,NF,kids
207,The search,NF,grab
208,The search,NF,your
209,The search,NF,coats
210,The search,NF,Been
211,The search,NF,a
212,The search,NF,minute
213,The search,NF,I
214,The search,NF,know
215,The search,NF,now
216,The search,NF,I'm
217,The search,NF,back
218,The search,NF,to
219,The search,NF,roam
220,The search,NF,Lookin
221,The search,NF,for
222,The search,NF,the
