Cobertura (%);49.58
Total na letra;852
Total transcrito;1566

Palavras não cantadas
nate;dealin;human;being;need;need;from;thoughts;tellin;gettin;loud;therapist;somethin;funny;goin;started;thinkin;cart;new;route;yard;noose;let;air;air;searchin;does;nate;grabbin;keepsakes;leavin;burdens;brought;few;lookin;view;concerns;pickin;cues;quite;nervous;lose;sight;gets;blurry;might;hurt;prolly;journey;worth;grab;coats;minute;roam;lookin;antidote;vivid;admit;classic;mode;need;pity;given;condone;talkin;ma;nose;crackin;lookin;hope;seen;seen;makin;wrote;scared;these;stages;crowd;thoughts;drown;self;hatred;forget;saying;beat;somethin;drums;comin;head;nothin;pump;stomach;wipe;ocd;tryna;push;buttons;intricate;syllable;intimate;call;wanna;call;forgettable;leave;deep;could;thinkin;cinematic;makin;movies;music;videos;videos;videos;videos;rise;health;declines;somethin;trapped;try;suffocate;hopin;dies;try;underwater;comes;nowhere;evil;hovers;over;millions;relate;must;as;crazy;as;point;makin;powerful;place;feed;affect;powerful;cool;safe;only;find;cut;murder;faith;woo;developin;benefits;nothin;meddle;delicate;relevant;depends;measure;measurement;bag;give;evidence;evident;dependable;tentative;gentleman;depending;genuine;elegant;afraid;grip;proper;etiquette;keep;myself;celebrate;ah;ah;better;grab;balloons;invite;friends;seatbelts;strap;em;everybody;smilin;road;predict;tone;resist;sound;better;raise;fist;search;begins;enjoy;trip;huh

Tipo;Original;Usuário;Similaridade
MAIOR;Hey;Hey;1.0000
MAIOR;hey;it,;1.0000
MAIOR;hey;know;1.0000
MAIOR;with;so;1.0000
MAIOR;with;me;1.0000
MAIOR;not;the;1.0000
MAIOR;Got;don't;1.0000
MAIOR;with;know;1.0000
MAIOR;criminal;don't;1.0000
MAIOR;or;what;1.0000
MENOR;Drums;vomit;0.3873
MENOR;coats;crack;0.3832
MENOR;measure;I;0.3718
MENOR;benefits;I;0.3717
MENOR;condone;And;0.3714
MENOR;measurement;I'm;0.3694
MENOR;buttons;like;0.3683
MENOR;dependable;criminal.;0.3664
MENOR;etiquette;come;0.3557
MENOR;smilin;Yeah!;0.3441

LISTA COMPLETA
Original;Usuário;Similaridade
Hey;Hey;1.0000
Nate;Nick,;0.4905
how's;how's;1.0000
life;life?;1.0000
I;I;1.0000
don't;don't;1.0000
know;know,;1.0000
it's;it's;1.0000
alright;alright.;0.8321
I've;I've;1.0000
been;been;1.0000
dealin;doing;0.4952
with;so;1.0000
some;many;1.0000
things;things;1.0000
like;like;1.0000
every;everything;0.6457
human;I've;0.4663
being;been;0.6677
And;doing.;1.0000
really;I;1.0000
didn't;really;1.0000
sleep;didn't;1.0000
much;sleep;1.0000
last;much;1.0000
night;last;1.0000
last;night.;1.0000
night;I'm;1.0000
I'm;sorry,;1.0000
sorry;that's;0.8962
that's;fine.;1.0000
fine;I;0.8844
I;just;1.0000
just;think;1.0000
think;a;1.0000
I;little;1.0000
need;me;0.6390
a;time.;1.0000
little;I;1.0000
me;just;1.0000
time;think;0.8305
I;a;1.0000
just;little;1.0000
think;free;1.0000
I;time.;1.0000
need;A;0.6390
a;little;1.0000
little;break;1.0000
free;through;1.0000
time;the;0.8305
Little;shows;1.0000
break;and;1.0000
from;the;0.6004
the;bus;1.0000
shows;rides.;1.0000
and;Last;1.0000
the;year;1.0000
bus;I;1.0000
rides;had;0.9494
bus;a;1.0000
rides;breakdown.;0.9494
yeah;Dustin;0.8074
Last;and;1.0000
year;me;1.0000
I;are;1.0000
had;lost;1.0000
a;in;1.0000
breakdown;too;0.9275
Thoughts;long.;0.7635
tellin;He'll;0.7567
me;see;1.0000
I'm;a;1.0000
lost;dead;1.0000
gettin;piece;0.6485
too;then;1.0000
loud;I;0.6329
Had;found;1.0000
to;out.;1.0000
see;Some;1.0000
a;fun's;1.0000
therapist;gonna;0.4213
then;go;1.0000
I;on;1.0000
found;in;1.0000
out;my;1.0000
Somethin;house;0.7670
funny's;You're;0.6255
goin;starting;0.7779
on;to;1.0000
up;think;1.0000
in;maybe;1.0000
my;I;1.0000
house;should;1.0000
Yeah;move;0.8074
I;out;1.0000
started;You;0.8406
thinkin;know;0.7730
maybe;pack;1.0000
I;my;1.0000
should;car,;1.0000
move;take;1.0000
out;a;1.0000
You;little;1.0000
know;ride;1.0000
pack;Clean;1.0000
my;your;1.0000
cart;mind,;0.4553
take;y'all;1.0000
a;get;1.0000
new;the;0.5429
route;news;0.5136
Clean;out;1.0000
up;Hang;1.0000
my;on;1.0000
yard;my;0.4276
get;heart;1.0000
the;and;1.0000
noose;help;0.3969
out;I've;1.0000
Hang;been;1.0000
up;sent;1.0000
my;you,;1.0000
heart;what;1.0000
let;that;0.5822
it;mean?;1.0000
air;I've;0.4684
out;been;1.0000
air;learning;0.4684
out;where;1.0000
I've;my;1.0000
been;kids;1.0000
searchin;live;0.5384
What;with;1.0000
does;my;0.7340
that;birdies;1.0000
mean;What's;1.0000
Nate;up,;0.4905
I've;I;1.0000
been;feel;1.0000
learning;with;1.0000
Grabbin;me,;0.4296
my;I'm;1.0000
keepsakes;not;0.4759
leavin;perfect;0.4092
my;Looted;1.0000
burdens;to;0.4155
Well;feel;1.0000
I;like;1.0000
brought;this;0.6550
a;can't;1.0000
few;stop;0.7987
with;me;1.0000
me;Be;1.0000
I'm;keeping;1.0000
not;the;1.0000
perfect;kids;1.0000
Lookin;right,;0.7226
at;I'm;1.0000
the;fine,;1.0000
view;and;0.5044
like;on;1.0000
this;the;1.0000
concerns;loose;0.5447
me;side,;1.0000
Pickin;life;0.5240
up;can't;1.0000
the;splurge,;1.0000
cues;and;0.4566
right;in;0.8767
I'm;my;1.0000
quite;home,;0.5267
nervous;it's;0.7292
Hate;probably;0.4757
it;gonna;1.0000
when;be;1.0000
I;a;1.0000
lose;joy;0.6048
sight;in;0.6067
life;the;1.0000
gets;hay,;0.8381
blurry;it's;0.4023
And;float;1.0000
things;to;1.0000
might;talk,;0.6155
hurt;cold;0.5504
me;to;1.0000
It's;walk,;1.0000
prolly;there;0.4924
gonna;kids;1.0000
be;growl;1.0000
a;because,;1.0000
long;then;0.8627
journey;I'm;0.5157
but;in;1.0000
hey;it,;1.0000
but;I;1.0000
hey;know;1.0000
It's;I'm;1.0000
worth;back;0.4311
it;to;1.0000
though;run,;0.8809
Cold;look;1.0000
world;if;0.8928
